Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Local Plaza Santona, 56, Usera;350;25;; Se alquila local comercial totalmente diafano, a piE de calle, ideal para oficina, anterirormente fuE un despacho de abogados y una inmobiliaria ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/aire-acondicionado/159472545/d;Plaza Santoña, 56, Usera;;
Local San Blas;900;195;912178157; INMOBILIARIA OLIMPUS alquila Local Comercial adaptado para cualquier actividad, situado en las zona de las Rejas, Poligono Industrial Fin de Semana. Tiene una superficie en planta Baja de 165 m2 y una segunda planta de 30 m2. Dos cuartos de bano con Vestuario para personal. Actualmente ha sido ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/calefaccion-salida-de-humos/158878984/d;San Blas;2 baños;
Local Infanta Mercedes, Tetuan;3.000;406;912170148; Realiza Visitas Seguras con el Protocolo de Seguridad EXTRA®?. Local nave comercial en la calle Infanta Mercedes, a la altura de General Peron, con licencia vigente de paso de carruajes. Muy amplio y comodo, a pie de calle y con muchas posibilidades a nivel comercial. Debido a su prestigiosa u... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/ascensor/156052014/d;Infanta Mercedes, Tetuán;3 baños;
Local Infanta Maria Teresa, Chamartin;1.500;109;912170148; Realiza Visitas Seguras con el Protocolo de Seguridad EXTRA®?. Local comercial en esquina, con muchas posibilidades. Anteriormente era una tienda de regalos. El local consta de 2 plantas: una en planta calle con 3,50 metros de fachada, ventanas y una superficie util de 18 m2, la segunda planta... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/hispanoamerica---bernabeu/158941370/d;Infanta María Teresa, Chamartín;1 baño;
Local General Cabrera, Tetuan;400;16;912170148; EXTRA Inmobiliaria alquila local comercial ubicado en la calle del General Cabrera. El local hace esquina con el Supermercado Dia del mismo barrio, lo que garantiza un continuo trasiego de personas, la calle en la que se encuentran es suficientemente ancha para disfrutar de una gran sensacion de ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/cuatro-caminos---azca/158249037/d;General Cabrera, Tetuán;1 baño;
Local Fuenterrabia, 9, Retiro;900;116;914875032; Local totalmente reformado, entrada indirecta por el portal del edificio. Los impuestos no estan incluidos en el precio, si se incluyen los gastos de Comunidad. Alquiler directo con la propiedad, sin comisiones ni honorarios. 116 m2 construidos aproximadamente (unos 79 utiles), a pie de calle, co... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/pacifico/155663372/d;Fuenterrabía, 9, Retiro;1 baño;
Local Fuenterrabia, 9, Retiro;1.150;125;914875032; Local reformado, de unos 125 m2 construidos y unos 83 m2 utiles. En planta de calle con un gran escaparate y acceso directo, diafano, exterior y muy luminoso. Con aseo, armario empotrado, suelos de tarima, termo de agua caliente y preinstalacion de Aire Acondicionado. Excelente para oficina o n... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/pacifico/158046875/d;Fuenterrabía, 9, Retiro;1 baño;
Local Calle Banos de Valdearados, 14, Villa de Vallecas;970;75;914875032; Local exterior de 75 m2 construidos aproximadamente, en bruto, gran altura de techos, con punto de preinstalacion de electricidad, agua, gas natural y telecomunicaciones, dispone de salida de humos. Alquiler directo con la propiedad, sin comisiones ni honorarios, oportunidad inmejorable para llev... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/salida-de-humos/159114664/d;Calle Baños de Valdearados, 14, Villa de Vallecas;;
Local Calle de Zurbaran, 17, Chamberi;1.590;63;914875032; Alquiler directo con la propiedad, sin comisiones ni honorarios. No tiene salida de humos, ni posibilidad de dotacion. Local de 63 m2 construidos, con una gran fachada. Distribucion diafana en la estancia principal. Excelente para sede comercial, oficina u otros negocios. Renta 1.590 € mensuales ... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/almagro/155877616/d;Calle de Zurbarán, 17, Chamberí;;
Local Bulevar de la Naturaleza, 13, Villa de Vallecas;420;75;914875032; Local exterior de 75 m2 construidos aproximadamente, en bruto, gran altura de techos, con punto de preinstalacion de electricidad, agua, gas natural y telecomunicaciones, dispone de salida de humos. Alquiler directo con la propiedad, sin comisiones ni honorarios, oportunidad inmejorable para llev... ;https://www.fotocasa.es/es/alquiler/local-comercial/madrid-capital/salida-de-humos/142607294/d;Bulevar de la Naturaleza, 13, Villa de Vallecas;;
