estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
UNIVERSIDAD REY JUAN CARLOS;213;40.33813200252909;-3.8738233708577496;113.911;129.696;128.453;107.013;101.163;94.620;67.468;42.173;126.347;158.064;140.624;98.736
PRADILLO;215;40.324907049404516;-3.86667086525709;131.849;127.449;141.113;128.258;138.794;135.041;115.622;87.376;127.590;147.933;141.251;136.551
CONSERVATORIO;224;40.2962323846858;-3.7473363337974863;66.994;65.038;69.250;61.473;65.716;63.650;50.778;35.223;61.324;71.438;67.543;61.265
LORANCA;218;40.30033759376653;-3.839656856500879;128.969;122.156;132.500;118.324;128.481;123.240;104.186;76.053;126.648;142.256;129.045;118.825
HOSPITAL DE FUENLABRADA;219;40.28935505592476;-3.81842396384173;115.232;129.518;140.592;113.280;94.845;78.945;51.954;33.959;140.822;167.913;148.999;91.375
PARQUE EUROPA;220;40.28871941064774;-3.8082804104444303;92.110;90.486;95.804;84.275;91.466;84.973;73.681;52.881;84.830;98.136;91.744;79.659
QUEVEDO;40;40.43314331462971;-3.704243965343924;258.425;228.419;237.117;206.180;194.482;225.682;210.049;141.480;232.507;273.626;266.705;239.704
ARROYO CULEBRO;223;40.29188880862619;-3.758496606999177;30.619;30.460;32.169;28.420;30.658;29.977;24.192;15.955;29.717;34.331;31.486;28.162
ALONSO DE MENDOZA;225;40.30358644740461;-3.7380794546482026;87.238;84.708;88.311;78.846;84.378;80.239;67.079;48.728;80.407;94.683;90.329;79.770
LOS ESPARTALES;229;40.32641670693743;-3.719305605236884;60.020;55.653;61.370;54.688;58.190;54.994;44.640;34.255;58.516;64.814;59.302;58.293
ALTO DEL ARENAL;23;40.39022843002452;-3.64538061759899;174.338;164.942;179.692;166.635;175.985;170.344;158.259;127.125;163.894;187.363;182.543;183.451
DELICIAS;44;40.40043406808327;-3.694419614675911;338.015;327.717;349.498;312.584;331.071;331.281;313.230;219.795;325.839;398.455;369.263;333.596
SAN NICASIO;236;40.33847631038748;-3.7770931215608927;99.138;99.570;106.937;96.198;103.364;100.450;87.721;61.760;100.919;121.580;107.919;96.264
SAN FRANCISCO;254;40.37492880134301;-3.7397582245577787;93.631;90.202;98.206;86.893;89.930;90.510;83.250;63.185;85.405;99.931;98.094;95.834
PINAR DEL REY;258;40.46690314156455;-3.6480879296362643;147.981;147.531;158.699;141.733;149.837;144.568;128.099;89.003;141.000;164.607;156.294;140.718
